Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
8,Germany,"Savory dried thyme notes accent sunnier flavors of preserved peach in this brisk, off-dry wine. It's fruity and fresh, with an elegant, sprightly footprint.",Shine,87,12.0,Rheinhessen,,,Anna Lee C. Iijima,,Heinz Eifel 2013 Shine Gewürztraminer (Rheinhessen),Gewürztraminer,Heinz Eifel
15,Germany,"Zesty orange peels and apple notes abound in this sprightly, mineral-toned Riesling. Off dry on the palate, yet racy and lean, it's a refreshing, easy quaffer with wide appeal.",Devon,87,24.0,Mosel,,,Anna Lee C. Iijima,,Richard Böcking 2013 Devon Riesling (Mosel),Riesling,Richard Böcking
7,France,"This dry and restrained wine offers spice in profusion. Balanced with acidity and a firm texture, it's very much for food.",,87,24.0,Alsace,Alsace,,Roger Voss,@vossroger,Trimbach 2012 Gewurztraminer (Alsace),Gewürztraminer,Trimbach
9,France,This has great depth of flavor with its fresh apple and pear fruits and touch of spice. It's off dry while balanced with acidity and a crisp texture. Drink now.,Les Natures,87,27.0,Alsace,Alsace,,Roger Voss,@vossroger,Jean-Baptiste Adam 2012 Les Natures Pinot Gris (Alsace),Pinot Gris,Jean-Baptiste Adam
0,Italy,"Aromas include tropical fruit, broom, brimstone and dried herb. The palate isn't overly expressive, offering unripened apple, citrus and dried sage alongside brisk acidity.",Vulkà Bianco,87,,Sicily & Sardinia,Etna,,Kerin O’Keefe,@kerinokeefe,Nicosia 2013 Vulkà Bianco  (Etna),White Blend,Nicosia
6,Italy,"Here's a bright, informal red that opens with aromas of candied berry, white pepper and savory herb that carry over to the palate. It's balanced with fresh acidity and soft tannins.",Belsito,87,16.0,Sicily & Sardinia,Vittoria,,Kerin O’Keefe,@kerinokeefe,Terre di Giurfo 2013 Belsito Frappato (Vittoria),Frappato,Terre di Giurfo
5,Spain,"Blackberry and raspberry aromas show a typical Navarran whiff of green herbs and, in this case, horseradish. In the mouth, this is fairly full bodied, with tomatoey acidity. Spicy, herbal flavors complement dark plum fruit, while the finish is fresh but grabby.",Ars In Vitro,87,15.0,Northern Spain,Navarra,,Michael Schachner,@wineschach,Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra),Tempranillo-Merlot,Tandem
18,Spain,"Desiccated blackberry, leather, charred wood and mint aromas carry the nose on this full-bodied, tannic, heavily oaked Tinto Fino. Flavors of clove and woodspice sit on top of blackberry fruit, then hickory and other forceful oak-based aromas rise up and dominate the finish.",Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza,87,28.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Pradorey 2010 Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza  (Ribera del Duero),Tempranillo Blend,Pradorey
19530,Ukraine,"On the nose, this nonvintage sparkler from the Ukraine has primary notes of yeast and freshly baked bread There are soft flavors of green apple and peach in the mouth with gentle persistent bubbles.",Brut,83,10.0,Ukraine,,,Jeff Jenssen,@worldwineguys,Marengo NV Brut Sparkling (Ukraine),Sparkling Blend,Marengo
36506,Ukraine,"Persistent bubbles lead the way to aromas of citrus blossom, green apple and yeasty bread. There are flavors of apple juice and lemon preserves in the midpalate. The finish is pleasantly sweet.",Semi-Sweet Bianco,83,10.0,Ukraine,,,Jeff Jenssen,@worldwineguys,Marengo NV Semi-Sweet Bianco Sparkling (Ukraine),Sparkling Blend,Marengo
306,Romania,"Fragrant on the nose with fresh orange, lemon and honeysuckle aromas, this full-bodied Chard is deliciously quaffable with a concentrated apple palate and just a hint of buttered toast. Another well-made Romanian at an unbeatable bargain price.",,87,7.0,Recas,,,Anna Lee C. Iijima,,Cramele Recas 2009 Chardonnay (Recas),Chardonnay,Cramele Recas
984,Romania,"An intriguing nose of tobacco, mint, cherry and spice leads this earthy red. Flavors of spice, tobacco, red berry and tea are supported by ageable tannins and good complexity.",Rosso di Valachia,85,12.0,Dealu Mare,,,Susan Kostrzewa,@suskostrzewa,Byzantium 2005 Rosso di Valachia Red (Dealu Mare),Red Blend,Byzantium
2272,Czech Republic,"Smoke and struck-flint notes add a dark tone to this savory, herb-inflected white wine. The palate is round and rich, and finishes with a reverberating hint of salt and bitter lemon rind.",,85,25.0,Moravia,,,Anna Lee C. Iijima,,Vino z Czech 2011 Welschriesling (Moravia),Welschriesling,Vino z Czech
2288,Czech Republic,"The Cabernet Moravia grape is a cross between Cabernet Franc and Zweigelt. Here, it incorporates all of Cab Franc's leafy herbaceousness and Zweigelt's tart, cranberry flavors in a refreshing wine. It's delicate in concentration, but easy drinking, with lots of green, grassy notes on the finish.",,85,18.0,Moravia,,,Anna Lee C. Iijima,,Vino z Czech NV Cabernet Moravia (Moravia),Cabernet Moravia,Vino z Czech
271,Greece,"Lively aromas of lemon, grapefruit and melon start this white from Greece. Flavors of grapefruit and lemon rind are fresh and crisp but still offer dimension. The finish is spicy and clean. A great food wine: pair with grilled fish or clams.",,89,15.0,Santorini,,,Susan Kostrzewa,@suskostrzewa,My Big Fat Greek Wine 2010 Assyrtico (Santorini),Assyrtico,My Big Fat Greek Wine
308,Greece,"This fuller-bodied white blend offers pineapple, kiwi and citrus on the nose, and a blend of full fruit and acidity on the palate. A balanced, easygoing white that is perfect for everyday poultry, vegetable and fish meals.",Asirtiko Athiri,87,18.0,Santorini,,,Susan Kostrzewa,@suskostrzewa,Domaine Sigalas 2010 Asirtiko Athiri White (Santorini),White Blend,Domaine Sigalas
1,Portugal,"This is ripe and fruity, a wine that is smooth while still structured. Firm tannins are filled out with juicy red berry fruits and freshened with acidity. It's  already drinkable, although it will certainly be better from 2016.",Avidagos,87,15.0,Douro,,,Roger Voss,@vossroger,Quinta dos Avidagos 2011 Avidagos Red (Douro),Portuguese Red,Quinta dos Avidagos
79,Portugal,"Grown on the sandy soil of Tejo, the wine is typically soft and open. It is very accessible—with black fruits and light tannins for this grape. It is ready to drink.",Bridão,86,,Tejo,,,Roger Voss,@vossroger,Adega Cooperativa do Cartaxo 2014 Bridão Touriga Nacional (Tejo),Touriga Nacional,Adega Cooperativa do Cartaxo
219,Hungary,"From a vineyard in Northern Tokaj this dry Furmint has aromas of citrus pith and freshly cut pineapple. In the mouth, there are delightful flavors of grapefruit juice and white peach before the pleasantly acidic finish.",Megyer Dry,90,36.0,Tokaj,,,Jeff Jenssen,@worldwineguys,Samuel Tinon 2015 Megyer Dry Furmint (Tokaj),Furmint,Samuel Tinon
351,Hungary,"This amber-colored Hungarian stunner has ethereal aromas of raw honey, beeswax, freshly baked tarte Tatin, canned apricot and fresh pear. It is silky smooth and creamy in the mouth with pronounced flavors of clover honey, pear tart and baked sweet apples. The acidity is perfectly balanced so you can appreciate its velvety richness without feeling that the sweetness is too cloying.",Eszencia,96,320.0,Tokaji,,,Jeff Jenssen,@worldwineguys,Oremus 2005 Eszencia  (Tokaji),Furmint,Oremus
93,Austria,"Freshness characterizes the nose: green pear, ivy leaves and citrus notes play on nose and palate. This is light footed, easy drinking and charming. Drink soon while flavors are fresh.",,88,12.0,Burgenland,,,Anne Krebiehl MW,@AnneInVino,Fuchs 2015 Grüner Veltliner (Burgenland),Grüner Veltliner,Fuchs
269,Austria,"Smooth and ripe, this is a rich black-fruited wine, its tannins comfortably ensconsed in a rich cushion. There is acidity to balance and spice which, along with the full-bodied fruit character, makes the wine ready to drink now.",,89,17.0,Leithaberg,,,Roger Voss,@vossroger,Mariell 2009 Blaufränkisch (Leithaberg),Blaufränkisch,Mariell
14187,Switzerland,"A Swiss blend of Pinot Noir and Gamay, this delightful wine has aromas of mint and black raspberry and flavors of cherry, red raspberry, fig and tobacco leaf. The finish is generous and long lasting.",Dôle des Monts,90,30.0,Valais,,,Jeff Jenssen,@worldwineguys,Robert Gilliard 2012 Dôle des Monts Pinot Noir-Gamay (Valais),Pinot Noir-Gamay,Robert Gilliard
21791,Switzerland,"This wine is cherry red with soft brown tinges, offering a nose of cherry with notes of summer farmstand. The predominant flavor is of tart cherry, interlaced with hints of red raspberry and bell pepper.",,89,160.0,Switzerland,,,Jeff Jenssen,@worldwineguys,Gantenbein 2011 Pinot Noir (Switzerland),Pinot Noir,Gantenbein
5085,Serbia,"This white wine from Serbia has aromas of caramelized pineapple and elderflower. It is lively and energetic, with flavors of Japanese apple and ripe pineapple.",,87,26.0,Pocerina,,,Jeff Jenssen,@worldwineguys,Milijan Jelić 2011 Morava (Pocerina),Morava,Milijan Jelić
22398,Serbia,"This semi-dry red wine is garnet in color, with aromas of red cherry and red raspberry plus lifted top notes of eucalyptus and mint. In the mouth, flavors of red raspberry and black currant shine brightly before the juicy finish.",Portuguiser,87,16.0,Fruška Gora,,,Jeff Jenssen,@worldwineguys,Agrina 2012 Portuguiser Blauer Portugieser (Fruška Gora),Blauer Portugieser,Agrina
6970,Bulgaria,"This pale-pink rosé is comprised of 70% Pinot Noir and 30% Syrah. It has aromas of lemon zest, pink grapefruit and strawberry. Red grapefruit along with strawberries and cream mark the palate. The finish is full and fruity.",Veni Vidi Vici,86,9.0,Thracian Valley,,,Jeff Jenssen,@worldwineguys,Vini 2016 Veni Vidi Vici Rosé (Thracian Valley),Rosé,Vini
7933,Bulgaria,"Dark garnet to the eye, this wine has aromas of black cherry, black raspberry, coffee and freshly ground black pepper. Flavors of height-of-summer cherry, raspberry and baking spice persist on the palate through a finish that is awash in silky tannins.",,90,11.0,Thracian Valley,,,Jeff Jenssen,@worldwineguys,Bulgariana 2012 Cabernet Sauvignon (Thracian Valley),Cabernet Sauvignon,Bulgariana
22687,Slovakia,"Delicious scents of honey, apples and petrol lead to a luscious, full-bodied palate full of smoke and honey with a gripping lime skin astringency on the finish. Rich in honey tones, yet quite dry, the palate is balanced with a bracing acidity.",,87,16.0,Muzla,,,Anna Lee C. Iijima,,Château Bela 2008 Riesling (Muzla),Riesling,Château Bela
4007,Croatia,"Salt air, lemon pith and lemon blossom lead in this 100% Malvasia Istriana. A wave of citrus and pronounced juicy grapefruit flavors refreshes the midpalate. The finish is zesty and lively.",,88,20.0,Istria,,,Jeff Jenssen,@worldwineguys,Coronica 2012 Malvasia (Istria),Malvasia,Coronica
4019,Croatia,"This garnet-colored wine conveys aromas of cranberry, black cherry and bramble. Flavors of dark cherry, cranberry and black plum have a strong acidic backbone and a long finish.",,88,27.0,Peljesac,,,Jeff Jenssen,@worldwineguys,Miloš 2009 Plavac Mali (Peljesac),Plavac Mali,Miloš
5996,Moldova,"This zesty Moldovan Feteasca Regala has aromas of pineapple, lemon zest and pear. In the mouth there are flavors of lemon juice, lime pith and a hint of cantaloupe.",D'Or,87,11.0,Moldova,,,Jeff Jenssen,@worldwineguys,Château Vartely 2014 D'Or Feteascǎ Regalǎ (Moldova),Feteascǎ Regalǎ,Château Vartely
8174,Moldova,"Straw-colored in the glass, this wine has aromas of white and yellow peach, with flavors of passion fruit and pineapple. It's amazing that it is more than 10 years old. The wine has good mouthfeel and is well balanced with a crisp, clean finish. Drink now or hold for a few years.",Golden Land Dry,87,30.0,Moldova,,,Jeff Jenssen,@worldwineguys,Lion-Gri 2006 Golden Land Dry Chardonnay (Moldova),Chardonnay,Lion-Gri
16467,Bosnia and Herzegovina,"Toasted oak and cedar notes meld into lush, ripe black plums on the nose and palate of this fruit-forward, richly concentrated wine from Bosnia and Herzegovina. It's a straightforward, accessible wine, but well balanced with smooth tannins and a bright acidity",Vranac,85,13.0,Mostar,,,Anna Lee C. Iijima,,Winery Čitluk 2007 Vranac Vranec (Mostar),Vranec,Winery Čitluk
96759,Bosnia and Herzegovina,"A mix of red and black fruits pervade on the nose, with hints of roasted coffee beans bringing nuance. Flavors of black plum and freshly ground espresso dominate the palate.",,88,12.0,Mostar,,,Jeff Jenssen,@worldwineguys,Winery Čitluk 2011 Blatina (Mostar),Blatina,Winery Čitluk
2292,Slovenia,"Earthy with hints of roasted nuts and dried herb, this is a uniquely savory Sauvignon that would pair well with herb-accented fowl and fish. The palate is round and rich, but balanced with brisk lime acidity and a characteristic grassiness on the finish.",Fosilni Breg,84,20.0,Slovenia,,,Anna Lee C. Iijima,,Ciringa 2011 Fosilni Breg Sauvignon Blanc (Slovenia),Sauvignon Blanc,Ciringa
5990,Slovenia,"This Slovenian Chardonnay has aromas of orange, vanilla, toasted almonds and citrus blossom. The mouth delivers flavors of honeydew melon, pear and apple before a crisp acidic finish.",Hand Harvested Estate Bottled,87,7.0,Primorska,,,Jeff Jenssen,@worldwineguys,Avia 2014 Hand Harvested Estate Bottled Chardonnay (Primorska),Chardonnay,Avia
3576,Luxembourg,"This non vintage white blend is composed of 50% Auxerrois, 40% Pinot Blanc, and 10% Pinot Gris. It has green apple and lemon pith aromas, lemon curd, apple juice and pastry flavors and a creamy finish.",Pinot Luxembourg,89,16.0,Moselle Luxembourgeoise,,,Jeff Jenssen,@worldwineguys,Domaines Vinsmoselle NV Pinot Luxembourg White (Moselle Luxembourgeoise),White Blend,Domaines Vinsmoselle
46038,Luxembourg,"This Riesling has white floral and lemon zest aromas and lemon pith and grapefruit flavors. It's nicely balanced, with a pleasantly tart finish.",Wormeldange Weinbour Grand Premier Cru,88,23.0,Moselle Luxembourgeoise,,,Jeff Jenssen,@worldwineguys,Domaines Vinsmoselle 2015 Wormeldange Weinbour Grand Premier Cru Riesling (Moselle Luxembourgeoise),Riesling,Domaines Vinsmoselle
